"Variable","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.77270800683661,0.121698694454199,-22.7833833326792,6.70107221822197e-115
"Support_1",0.26353277658444,0.121361321827634,2.17147253025743,0.0298954714381563
"Support_0",-0.241177691444262,0.136156416416435,-1.77132813709359,0.0765061511039278
"SP_0",0.099469162365585,0.117862105583804,0.843945234754519,0.39870000926218
"SP_1",-0.0716860070244081,0.0924792484486477,-0.77515775946443,0.438246444786692
"Days_Last_Login",0.0183696691330608,0.00483674585021447,3.79793971027986,0.000145903798974856
"Customer_Age",0.011616052287468,0.00604420345412637,1.92184998000651,0.0546246373032408
"CHI_1",-0.0104984742622021,0.00281650751392029,-3.72747958608826,0.000193404220625779
"CHI_0",-0.0042043991168428,0.00135362071469334,-3.10603928501144,0.00189611523268507
"Logins",-0.00250201076792607,0.00278131339891807,-0.899578871226574,0.368344405473156
"Blogs",0.00154774366256761,0.0205873108722057,0.0751794963497233,0.94007189772305
"Views",-0.000110979994440718,4.22866798873092e-05,-2.62446696540071,0.00867847107796947
