Movie ,Opening Gross ,Total U.S. Gross ,Total Non-U.S. Gross ,Budget,Opening Theatres,Known Story,Sequel, Origin_United States,Genre,Summer,Holiday,Christmas,MPAA,MPAA_D,Critics´ Opinion,Oscar Nominations,Oscars Won
16 Blocks,"11,855,260","36,895,141  ","65,664,721","45,000,000","2,706",0,0,1,Action ,1,0,0,PG-13,0,63,0,0
Accepted,"10,023,835","36,323,505  ","2,146,261","23,000,000","2,914",0,0,1,Comedy,0,0,0,PG-13,0,47,0,0
Apocalypto,"15,005,604","50,866,635  ","69,309,076","40,000,000","2,465",0,0,1,Adventure,0,0,0,R,1,68,3,0
Arthur and the Invisibles,"4,294,936","15,132,763  ","97,854,413","86,000,000","2,247",0,0,0,Animation,1,0,0,PG,0,39,0,0
ATL,"11,554,404","21,170,563  ",0  ,"20,000,000","1,602",0,0,1,Drama,0,0,0,PG-13,0,63,0,0
Babel,"5,558,095","34,302,837  ","101,027,326","20,000,000","1,251",0,0,1,Drama,0,0,0,R,1,69,7,1
Barnyard: The Original Party Animals,"15,820,864","72,637,803  ","43,272,126","51,000,000","3,311",0,0,1,Animation,1,0,0,PG,0,42,0,0
Big Momma's House 2,"27,736,056","70,165,972  ","68,079,671","40,000,000","3,261",0,1,1,Comedy,0,1,1,PG-13,0,34,0,0
Blood Diamond,"8,648,324","57,377,916  ","171,407,179","100,000,000","1,910",0,0,1,Drama,0,0,1,R,1,63,5,0
Charlotte's Web,"11,457,353","82,599,768  ","61,768,463","85,000,000","3,566",1,0,1,Comedy,0,0,0,G,0,68,0,0
Children of Men,"10,197,775","35,327,768  ","33,897,819","76,000,000","1,209",1,0,0,Thriller,0,0,0,R,1,84,3,0
Click,"40,011,365","137,355,633  ","100,325,666","82,500,000","3,749",0,0,1,Comedy,1,0,0,PG-13,0,45,1,0
Curious George,"14,703,405","58,360,760  ","11,474,055","50,000,000","2,566",1,0,1,Animation,0,0,0,G,0,62,0,0
Date Movie,"19,076,261","48,548,426  ","36,247,230","20,000,000","2,896",0,0,1,Comedy,0,0,0,PG-13,0,11,0,0
Deja Vu,"20,574,802","64,038,616  ","116,518,934","75,000,000","3,108",0,0,1,Thriller,1,1,0,PG-13,0,59,0,0
Dreamgirls,"8,953,734","103,365,956  ","51,200,910","75,000,000",852,0,0,1,Drama,0,0,0,PG-13,0,76,8,2
Eight Below,"20,188,176","81,612,565  ","38,843,429","40,000,000","3,066",1,0,1,Drama,0,1,0,PG,0,64,0,0
Eragon,"23,239,907","75,030,163  ","174,390,688","100,000,000","3,020",1,0,1,Action,0,0,0,PG,0,38,0,0
Failure to Launch,"24,411,322","88,715,192  ","39,691,695","50,000,000","3,057",0,0,1,Comedy,0,0,0,PG-13,0,47,0,0
Final Destination 3,"19,173,094","54,098,051  ","59,172,557","25,000,000","2,880",0,1,1,Horror,0,0,0,R,1,41,0,0
Flags of Our Fathers,"10,245,190","33,602,376  ","32,297,873","90,000,000","1,876",1,0,1,Action,1,0,0,R,1,79,2,0
Flyboys,"6,004,219","13,090,630  ","4,679,984","60,000,000","2,033",0,0,0,Action,1,0,0,PG-13,0,47,0,0
Gridiron Gang,"14,414,630","38,432,823  ","3,048,028","30,000,000","3,504",0,0,1,Drama,0,0,0,PG-13,0,52,0,0
Happy Feet,"41,533,432","198,000,317  ","186,330,162","100,000,000","3,804",0,0,0,Animation,1,0,0,PG,0,77,1,1
Ice Age: The Meltdown,"68,033,544","195,330,621  ","456,235,122","80,000,000","3,964",0,1,1,Animation,0,0,0,PG,0,58,0,0
Inside Man,"28,954,945","88,513,495  ","95,862,759","45,000,000","2,818",0,0,1,Thriller,0,0,0,R,1,76,0,0
Just My Luck,"5,692,285","17,326,650  ","20,750,723","28,000,000","2,541",0,0,1,Comedy,1,1,0,PG-13,0,29,0,0
Lady in the Water,"18,044,396","42,285,169  ","30,500,000","70,000,000","3,235",0,0,1,Drama,0,0,0,PG-13,0,36,0,0
Last Holiday,"12,806,188","38,399,961  ","4,943,287","45,000,000","2,514",1,0,1,Drama,0,0,1,PG-13,0,52,0,0
Little Man,"21,613,176","58,645,052  ","42,950,069","64,000,000","2,533",0,0,1,Comedy,0,0,0,PG-13,0,26,0,0
Lucky Number Slevin,"7,031,921","22,495,466  ","33,813,415","27,000,000","1,984",0,0,1,Thriller,0,0,0,R,1,53,0,0
Marie Antoinette,"5,361,050","15,962,471  ","44,954,718","40,000,000",859,1,0,1,Drama,1,0,0,PG-13,0,65,1,1
Monster House,"22,217,226","73,661,010  ","66,513,996","75,000,000","3,553",0,0,1,Adventure,1,0,0,PG,0,68,1,0
Nacho Libre,"28,309,599","80,197,993  ","19,057,467","35,000,000","3,070",0,0,1,Comedy,0,0,0,PG,0,52,0,0
Nanny McPhee,"14,503,650","47,144,110  ","75,345,712","25,000,000","1,995",1,0,0,Comedy,0,0,0,PG,0,59,0,0
One Night with the King,"4,120,497","13,395,961  ","142,621","20,000,000",909,1,0,1,Drama,0,0,0,PG,0,38,0,0
Open Season,"23,624,548","84,303,558  ","104,784,721","85,000,000","3,833",0,0,1,Animation,0,0,0,PG,0,49,0,0
Pulse,"8,203,822","20,264,436  ","9,507,049","20,500,000","2,323",1,0,1,Horror,0,1,1,PG-13,0,27,0,0
